通巻	区分	番号	氏名	題名	開始頁	終了頁	備考
1	編輯後記	19			50		記載のまま：編輯→編集
1	會則	20			51		旧字体：會→会
1	會員名簿	21			52	53	旧字体：會→会
2		1	斉藤 常夫	茂原を中心とした食蟲植物採集一めぐり	1	4	旧字体：蟲→虫、本文中では「茂原を中心とした食虫植物採集一めぐり」
2		2	斉藤 常夫	茂原附近の地図			元は氏名が空欄だが入力した。
2		3	小宮 定志	本邦産タヌキモ属の分類検索要綱	5	10	本文中では「Lentibulariaceae（タヌキモ科）本邦産Utricularia属の分類検索要綱」
2		4	小宮 定志	附記 1. タヌキモの越冬についての観察（中間報告） 2. 春の多々良沼	11	12	元は氏名が空欄だが入力した。
2		5	小宮 定志	タヌキモ属の図譜			元は氏名が空欄だが入力した。
2		6		第3回“食蟲植物の集い”の状況報告	23	24	旧字体：蟲→虫
2		7		第1回採集旅行の報告	24		
2	お知らせ	8			24		
2	編輯後記	9			24		記載のまま：編輯→編集
2		10		タヌキモ属(Utricularia)の検索表			
3		1	小沢 元之助	赤城地蔵岳の虫取菫を訪ねて	1	2	名前は本文中では「小澤」
3		2	小沢 元之助	赤城山案内図			元は氏名が空欄だが入力した。
3		3	丸山 尚敏	食虫植物の感覚について 其の一	3	4	
3		4	志方 欽二	野田の“もうせんごけ”健在なりや	5		本文中では「野田の「もうせんごけ」健在なりや」
3		5	齋藤 常夫	むしとりの草の精に挽かれて尾瀬へ	6	8	記載のまま：齋藤→斉藤
3		6	齋藤 常夫	尾瀬地方の案内図			元は氏名が空欄だが入力した。
3		7	豊田 実	三重縣鈴鹿市神戸町附近のヒメミミカキグサ	9	11	旧字体：縣→県
3		8	小宮 定志	本邦産Utricularia属の分類検索追補	12	18	
3		9	小宮 定志	同図版 U. yosezatoi Makino U. siakujiiensis Nakajima	15		元は氏名が空欄だが入力した。
3		10		植物採集の心得	18		
3		11		第2回委員会に依る決議報告	19		
3	お知らせ	12			20		
3	編輯後記	13			20		記載のまま：編輯→編集
3	会則	14			21		
3	会員名簿	15			22	23	
4		1	吉原 弥太郎	タヌキの寝言	1		
4		2	鈴木 吉五郎	ディオネア漫語	2	3	
4		3	豊田 實	食肉植物又は食虫植物の話（講演要旨）	4	10	
4		4	志方 欽二	八ヶ嶽に食虫植物を探る	11	13	旧字体：八ヶ嶽→八ヶ岳、本文中では「八ヶ岳に食虫植物を探る」
4		5	齋藤 常夫	食虫雑記帖 イ．シロバナヒメミミカキグサについて ロ．イトタヌキモとミミカキグサの放流散布について	14	17	
4		6	丸山 尚敏	食虫植物の感覺 其の2	18	20	本文中では「食虫植物の感覺について 其の2」、旧字体：感覺→感覚
4		7	石坂 彰一、高橋 信之介、関谷 善郎	銚子附近に於ける食虫植物の分布状態について	21	23	
4		8		銚子附近要図			
4		9	小沢 元之助	戰後上京した車葉モウセンゴケと亜佛利加モウセンゴケ	24		旧字体：戰後→戦後、本文中では「戰後上京した車葉モウセンゴケ(Drosera Burmanni)と亜佛利加モウセンゴケ(Drosera capensis)」
4		10	内田 小巖	万葉植物手ずさみ帖(1) 〔こなぎ〕について	25	27	本文中では「萬葉植物手ずさみ帖(1)」
4		11	小宮 定志	食虫植物研究會の過去一年間を振り返へる	28	33	旧字体：食虫植物研究會→食虫植物研究会、本文中では「食虫植物研究会の過去一年間を振り返へる」
4		12		表紙に因んで	33	34	
4	消息欄	13			34		
4	訂正	14			34		
4	編集後記	15			34		
5		1	久保田 美夫	ネペンテス偶感	1	2	
5		2	野村 幸彦	赤城山の植物に就て	2	4	記載のまま：就て→就いて
5		3	齋藤 常夫	食虫雑記帖 (1)タヌキモの変り種 (2)タヌキモの不定芽 (3)変化の多いムラサキミミカキグサ 附図(1)モウセンゴケ類の双頭葉 (2)タヌキモの変り種 (3)タヌキモの不定芽 (4)ムラサキミミカキグサ	4	7	
5		4	志方 欽二	現地に於けるコウシンソウとムシトリスミレの冬の状態	8	9	
5		5	内田 小巖	万葉植物手ずさみ帖(2) 〔芹〕〔惠具〕に就て	9	10	旧字体：惠→恵、記載のまま：就て→就いて
5		6	丸山 尚敏	食虫植物の感覺 その3	11	12	旧字体：感覺→感覚
5		7	齋藤 常夫	会誌5号を重ねるに当って	12	13	目次には名前がないが、文末には（斉藤常夫記）とあるため、名前を入れた。
5		8	小沢 元之助	採集心得三ヶ條	14		旧字体：條→条
5		9	豊田 實	ウツボカヅラ科の瓶子体内動物相に就て（‐瓶子体内のボーフラに就て‐）	15	16	記載のまま：ウツボカヅラ→ウツボカズラ、就て→就いて
5		10	小宮 定志	異なもの食虫植物（文献紹介）Ⅰ 附図(1)ヤマウツボ (2)食虫苔類			
5		11	齋藤 常夫	リオデヂャネイロ附近のタヌキモ類に就て（文献紹介）Ⅰ	20	22	記載のまま：リオデヂャネイロ→リオデジャネイロ
5	消息欄	12			23		
5	編集後記	13			23		
5		14		リオデヂャネイロ附近のタヌキモ類検索表	24		記載のまま：リオデヂャネイロ→リオデジャネイロ
5		15		図版 1. Utricularia oligosperma st. Hil.	25		
5		16		図版 2. Utricularia Gomezii D. C. (?)	26		
5		17		図版 3. Utricularia longirostris Ell.	27		
5		18		図版 4. Utricularia subulata Linn.	28		
5		19		図版 5. Utricularia pusilla Vahl.	29		
5		20		図版 6. Utricularia nelumbifolia Gardn.	30		
5		21		図版 7. Utricularia longifolia Gardn.	31		
5		22		図版 8. Utricularia reniformis st. Hil.	32		
5		23		図版説明	33		
6		1	志方 欽二	表紙説明 Cephalotus follicularis について	1	4	本文中の題名は「表紙の説明 "Cephalotus follicularis Labill" について」
6		2	鈴木 吉五郎	コモウセンゴケを視る	4	6	機種依存文字：視→視
6		3	柴田 瑳武郎	ディオネアの思出	6	8	
6		4	齋藤 常夫	食虫雑記帖 (1)ムジナモの辯 (2)食虫植物の学名のうちから (3)食虫植物の入門書と資料のうちから	9	14	旧字体：辯→弁
6		5	豊田 實	Genlisea の話	15	19	
6		6	福里 和男	随筆“ラジオ屋の生物研究”	19	21	機種依存文字：福→福
6		7	小宮 定志	異なもの食虫植物Ⅱ（文献紹介） 附図(1)ヤクシマミズゴケモドキ (2)イヌヰムシトリゴケ (3)ナガバムシトリゴケ (4)ヤスデゴケ	21	24	
6	短信欄	8			25	26	
6	消息欄	9			26	27	
6	編集後記	10			27		
7		1	志方 欽二	食虫植物の枯れ方・枯らし方	1	4	
7		2	豊田 實	Byblis の話	5	8	本文では「實」は「実」。
7		3	齋藤 一雄	食虫植物群落の生態	8	11	本文では「齋藤」は「斉藤」。
7		4	齋藤 常夫	食虫雑記帳 (1)コタヌキモの開花について (2)イシモチソウモドキ雑感 (3)イシモチソウの塊茎の位置について (4)四又モウセンゴケ腺毛の変異について (5)尾瀬産ムラサキミミカキグサの開花について (6)モウセンゴケの色変りについて	12	17	記載のまま：四又モウセンゴケ→ヨツマタモウセンゴケ、色変り→色変わり。本文では「食蟲雑記帳」、「齋藤」は「斉藤」。
7		5		御知らせ		16	
7		6	大場 達之	愛鷹山にモウセンゴケを産す	18		
7		7		“会の行事予定”お知らせ	18		
7		8	丸山 尚敏	食虫植物の感覚 -4- C.イシモチソウ科 D.ヘビノメシツボ科	19	23	
7		9	小宮 定志 訳	グラビア図版の説明			
7		10		図版 Drosophyllum lusitanicum Link.			
7		11		図版 (1)Aldrovanda の捕虫葉開閉作用 (2)Dionaea の捕虫葉			
7	質問	12			23	26	
7	消息	13			27	28	
7	短信	14			28	29	
7	編集後記	15			30		
8		1	小宮 定志	創立二週年記念に際して			頁数なし。記載のまま：週→周。名前がないが入力した。
8		2	吉原 彌太郎	銚子附近食虫植物群落保存に関して	1	3	旧字体：彌→弥
8		3	オノ イサム	オゼの旅ところどころ	4	6	
8		4	齋藤 一雄	食虫植物群落の景観	6	10	
8		5	内田 小巖	万葉植物手ずさみ帖(3)	10	13	
8		6	齋藤 常夫	食虫雑記帖 (1)イシモチソウモドキ雑感 (2)四又モウセンゴケ後日譚 (3)サラセニアの畸形花 (4)2･4-D ムジナモを走らす (5)食虫植物自生地の保護について (6)コモウセンゴケの花色を尋ねる人の話 (7)関西食虫植物見聞記 (8)初めて栽培をはじめる人の為に	13	24	記載のまま：畸形→奇形
8		7	丸山 尚敏	食虫植物の感覚(5)	25	27	
8		8	村上 悟	食虫植物の染色体	27	36	
8		9	多湖 実輝	食虫植物と私	37	38	
8		10	川田 潤	ボクと食虫植物と	39	44	
8		11	志方 欽二	日本食虫植物産地並びに分布例	45	46	本文では「日本食虫植物の分布並びに産地例」
8	行事予告	12			46		
8	消息	13			47	48	
8	短信	14			48	49	
8	編集後記	15			49		
8		16		日本食虫植物産地分布地図［5葉］			
9		1	丸山 尚敏	尾瀬の植物	1	8	本文中では「尾瀬の植物‐序‐」
9		2	杉山 義命	尾瀬の植物の生態学的分類	9	11	
9		3	小宮 定志	本邦産Utricularia属分類検索追補(2)	11	22	
9		4	内田 小巖	万葉植物手づさみ帖(4)	23	25	記載のまま：手づさみ帖→手ずさみ帖。本文中では「萬葉植物手づさみ帖」
9		5	斉藤 常夫	食虫植物瑣談（講演要旨）	25	31	記載のまま：斉藤→齋藤
9		6	丸山 尚敏	食虫植物の感覚(6)	32	35	
9		7		本年中活動計画一覧	22		
9	短信欄	8			35		
9	消息	9			36		
9	編集後記	10			37		
10		1	北沢 右三	尾瀬ヶ原綜合学術調査研究について（講演要旨）	1	3	
10		2	丸山 尚敏	尾瀬の植物（Ⅱ）	4	10	
10		3	野村 幸彦	採集登山記（Ⅰ）	11	14	
10		4	志方 欽二	食虫植物と私の人生	15	17	
10		5	村上 悟	食虫植物の染色体に関する文献のうちから	17	19	
10		6	丸山 尚敏	食虫植物属検索及び種名集覽（Ⅰ）	19	23	旧字体：覽→覧
10	短信欄	7			23		
10	消息欄	8			24		
10	編集後記	9			24		
11		1	荒木 繁	文献招介 "Sarraceniaceae"	1	3	記載通り：文献招介→文献紹介
11		2	野村 幸彦	採集登山記(2) “榛名山”	11	14	
11		3	斉藤 常夫	食虫雑記帖 (1)ノタヌキモ実生の異常捕虫嚢について (2)ムシトリスミレの花色について (3)食虫植物の英名	3	10	本文中では、食虫雑記帖→食虫雑記帳、斉藤→斎藤。目次では「(1)ノタヌキモ」が「(1)タタヌキモ」に見えるが、本文中の記載により修正した。
11		4	小宮 定志	庚申山の植物（予報）	15	18	
11		5	村上 悟	抄録 “Byblis gigantea の触毛の運動性について”	10	11	
11	短信欄	6			18	18	
11	消息欄	7			18	20	
11	編集後記	8					目次の頁に記載されている。頁数の記載なし。
12		1	荒木 繁	創立三周年記念に際して	1		目次には名前がないが、文末にある名前を入れた。
12		2	丸山 尚敏	尾瀬の植物‐Ⅲ‐	1	10	
12		3	村上 悟	Drosera に於ける倍数性と諸形質との関係[1]	10	12	
12		4	伊藤 俊雄	大池の植物について	13	18	
12		5	斉藤 常夫	コウシンソウについて	19	24	本文中では、斉藤→齋藤。
12		6	小宮 定志	イトタヌキモの学名について	25	26	
12		7	小沢 元之助	モウセンゴケ類の栽培法について（講演要旨）	27	30	
12		8	志方 欽二	食虫植物栽培の第一歩	30	32	目次では「第一歩」の「第」は略字が使われているが、本文に合わせた。
12	消息欄	9			33		
12	編集後記	10			34		
13		1	斉藤 一雄	食虫植物の生態について‐食虫植物とは何か‐	1	7	本文に合わせた：一男→一雄
13		2	小宮 定志	モウセンゴケの食虫作用	7	13	
13		3	村上 悟	戦後報告された食虫植物の特種	14	19	本文中では「最近報告された食虫植物の新種」
13		4	豊田 実	福島県の赤井谷地を見る	20		最終頁の記載がない。
13		5	狸貉園 妄賤	キツネノメシガイソウ雑記	23	26	編集後記によると狸貉園妄賤氏はM氏のペンネームであるとのこと。PDF版では本文中の名前の上に「丸山 尚敏」と手書きされている。
13		6	大滝 末男	野反湖登山案内	26	29	本文中では「野反湖登山採集記」、名前は「大瀧」
13		7	荒木 繁	箱根仙石原湿原を行く	31	33	
13		8	志方 欽二	食虫植物春の準備あれこれ	29	31	
13	編集後記	9					
14		1	小宮 定志	食虫植物の進化論	1	9	
14		2	斉藤 一雄	食虫植物とはなにか	9	14	
14		3	村上 悟	ムシトリスミレの新産地について	14	16	
14		4	柴田 有康	冬の蝿	16	20	
14	編集後記	5			21		
14		6	S. M.	食虫植物の標準科名	20	21	目次にない記事。S. M.→村上 悟？
15		1	小宮 定志	食虫植物の進化論(2)	1	16	
15		2	渡辺 広文	素人のたわごと	17	20	本文中では「渡邊 廣文」
15	編集後記	3			20		
16		1	小宮 定志	食虫植物の進化論(3)	1	9	
16		2	斉藤 常夫	食虫雑記帖	9	15	
16		3	村上 悟	食虫植物の染色体に関する文献のうちから	15	19	
16		4	豊田 実	欧米温室行脚	19	25	
16	編集後記	5			26		
17		1	小宮 定志	食虫植物の進化論(4)	1	8	
17		2	大滝 末男	ナガバノモウセンゴケの新生育地について	8	15	
17		3	斉藤 常夫	［食虫雑記帖］ネペンテス雑考	15	16	
17		4	越川 幸雄	新輸入の食虫植物二種 (1)Drosera pygmaea (2)Pinguicula elatior	17	20	
17		5	志方 欽二	挙母市西方の食虫植物を見て歩る記	20	22	挙母（ころも）市は愛知県豊田市の旧称。
17		6	小宮 定志	［文献紹介］ C. R. Bell : A Cytotaxonomic Study of the Sarraceniaceae of North America	22	26	
17	短信	7			26		
17	編集後記	8			27		
18		1	根津 文雄	Sarracenia の栽培	1	5	
18		2	渡辺 広文	続・素人のたわごと	5	8	本文中では「渡邊 廣文」
18		3	英 清道	pHとその測定法	8	14	
18		4	清水 清	「かけ出しの記」	14	17	
18		5	林 幸司	赤城山の食虫植物採集	17	20	
18		6	越川 幸雄	新輸入の食虫植物(2)	20	24	
18		7	小宮 定志	〔文献紹介〕	25	35	名前は文末に（小宮 定志）と記載されている。
18	質問及び解答	8			35	36	
18	短信	9			36	37	
18	会からのお知らせ	10			37		
18	編集後記	11			38		
19		1	英 清道	PHメーターを持って茂原へ	1	3	
19		2	桜井 章	思い浮ぶまま	3	5	記載通り：思い浮ぶまま→思い浮かぶまま。本文中では名前が「桜田 章」とある。
19		3	小宮 定志	最近の食虫植物事情	5	8	
19		4	越川 幸雄	新輸入の食虫植物(3)	9	11	
19		5	斉藤 常夫	食虫雑記帳	12	13	本文中では「齋藤 常夫」。記載通り：食虫雑記帳（食虫雑記帖ではない）
19		6	越川 幸雄	寿命のこと	13	16	
19		7	小宮 定志	［文献紹介］ C. R. BELL: Natural Hybrids in the Genus Sarracenia. I. History, Distribution and Taxonomy	16	25	名前は（小宮）と記載。
19	質問及び解答	8			25	26	
19	短信	9			27		
19	会からのお知らせ	10			27		
19	編集後記	11			28		
20		1	山川 学三郎	セファロツス・フォリキュラリス	1		記載通り：セファロツス→セファロタス
20		2	小宮 定志	［文献紹介］Cephalotus	1	4	名前は（小宮）と記載。訂正した：Cepholotus→Cephalotus
20		3	小宮 定志	タヌキモ科研究の歴史的考察	5	10	本文中では「タヌキモ科研究の歴史的考察 Ⅰ．」。「歴史」の「歴」が略字になっている。
20		4	越川 幸雄	サラセニアの実生栽培	10	14	
20		5	越川 幸雄	実生の効用	15	16	
20		6	越川 幸雄	イシモチソウモドキの発芽について	16	17	
20	質問と答えの欄	7			17	21	
20	短信	8			21	22	
20	会からのお知らせ	9			23	24	
20	編集後記	10			25		
21		1	英 清道	モウセンゴケ類の消化酵素	1	9	
21		2	越川 幸雄	イトバモウセンゴケの問題（中間報告）	9	11	
21		3	鈴木 吉五郎	ディオネアの新品、モウセンゴケモドキの話	12	14	
21		4	根津 文雄	Nepenthes ventricosa	14	15	
21		5	小宮 定志	（総合講座）モウセンゴケの食虫作用(1)	16	26	
21		6	越川 幸雄・小宮 定志	関西方面食虫植物見て歩き	27	33	
21	質問と答えの欄	7			34		
21	短信	8			15		
21	会からのお知らせ	9			35		
21	編集後記	10					頁数なし。
22		1	豊田 実	創立10周年記念号に寄せて	1		目次では空欄になっているが、本文の題名を入力した。
22		2	志方 欽二	趣味の食虫植物想い出話	2	7	
22		3	日下部 勇	サラセニアの歴史	8	21	
22		4	鈴木 吉五郎	サラセニアの園芸種	22	24	口述の記録。本文中では「サラセニア園芸種」。
22		5	越川 幸雄	サラセニアの栽培(2)	25	33	
22		6	山川 学三郎	デオネア・ムスキプラ・エレクタの其の後	33	34	記載通り：デオネア→ディオネア。本文中では「デオネヤ」。
22		7	英 清道	ムジナモの栽培	34	38	
22		8	小宮 定志	10年の歩みを省みる	38	43	本文中では「10年の歩みを省みて」。
22		9	林 幸司	茂原採集報告	43	44	
22		10	倉田 重夫	赤城山採集記	44	45	
22		11	英 清道・越川 幸雄	［文献紹介］L. Diels: Droseraceae	45	77	目次では名前は（英・越川）と記載されている。
22	質問と答の欄	12			78		記載通り。前号では「質問と答えの欄」。
22	会からのお知らせ	13			78		
22	編集後記	14				79	
23		1	鈴木 吉五郎	食虫植物の栽培について（講演要旨）	1	5	
23		2	大滝 末男	小合溜の四季（講演要旨）	6	10	
23		3	日下部 勇	Nepenthes Sir William Turner Thiselton-Dyer について	10	12	
23		4	日下部 勇	サラセニアの播種についての改良案	13	14	
23		5	平野 正治	ダーリングトニヤの実生	15	16	記載のまま：ダーリングトニヤ→ダーリングトニア
23		6	越川 幸雄	我国に始めてディオニアを紹介している「飜刻植物学」	16	20	記載のまま：ディオニア→ディオネア
23		7	越川 幸雄	成東見学会報告	20	21	
23	隨想	8			21	22	
23	会員紹介の欄	9			23	24	
23	短信	10			25		
23	会からのお知らせ	11			26		
23	編集後記	12			28		
24		1	小宮 定志	ムシトリスミレ属の全貌	1	5	訂正した：小山 定志→小宮 定志
24		2	日下部 勇	ハイトリグサの歴史	6	14	記載のまま：ハイトリグサ→ハエトリグサ
24		3	日下部 勇	Pinguicula gypsicola の観察	14	15	
24		4	山川 学三郎	私のダーリングトニア	16		
24		5	石津 汪	モウセンゴケの薬効	17		
24		6	小宮 定志	植物の名付けかた	18	21	
24		7	日下部 勇	“Sundew”誌 始末記	21	26	
24		8	三村 茂	茂原・八積採集報告	27	27	
24	会員紹介の欄	9			28		
24	短信	10			29		
24	会からのお知らせ	11			31		
24	編集後記	12			32		
25		1	多湖 実輝	広瀬巨海氏の憶い出	1	2	
25		2	湯浅 浩史	食虫植物の奇形について	3	4	
25		3	湯浅 浩史	イシモチソウは秋にも発芽する	4	5	
25		4	日下部 勇	ウツボカヅラ属の分類に就いて	5	13	記載のまま：ウツボカヅラ→ウツボカズラ
25		5	日下部 勇	Nepenthes Goettingensis, Bonstedt に就いて	14	15	
25		6	日下部 勇	ムジナモとその歴史	16	20	
25		7		広瀬巨海氏遺稿の一部（その1）	21	29	頁数は正しくは20-29であるが、記載のまま。
25	会員紹介欄	8			29		
25	短信	9			30		
25	会からのお知らせ	10			32		
25	編集後記	11			34		
26		1	日下部 勇	ウツボカヅラの効用	1	7	記載のまま：ウツボカヅラ→ウツボカズラ
26		2	日下部 勇	ウツボカヅラ自生地の気候並びに土壌について	7	29	記載のまま：ウツボカヅラ→ウツボカズラ
26		3	小宮 定志	Drosera regia について	29	30	
26		4		広瀬巨海氏遺稿の一部（その2）	30	42	
26	質問と解答の欄	5			42	43	記載のまま：解答→回答
26	短信	6			43		
26	会からのお知らせ	7			43		
26	編集後記	8			45		
27		1	日下部 勇	Pinguicula gypsicola の栽培法	1	8	
27		2	日下部 勇	サラセニア種子の播種条件に就いて	9	11	
27		3	日下部 勇	サラセニアのビールス病対策に就いて（予報）	11	13	
27		4	日下部 勇	ウツボカヅラ雑考	13	15	記載のまま：ウツボカヅラ→ウツボカズラ
27		5	小宮 定志	Roridula の解剖知見	15	17	
27		6	湯浅 浩史	イシモチソウの秋期出芽：その後の状況	17	19	
27		7	大滝 末男	埼玉県羽生地区水生植物について	20	22	
27		8	斎藤 常夫	食虫雑記帳	22	28	
27		9	久保田 重夫	生まれて初めて虫を捕える草なるものを捕える	28	29	
27		10	林 幸司	加須採集会報告	29	30	
27	会員紹介欄	11			30	32	
27	短信	12			32	34	
27	会からのお知らせ	13			34	35	
27	編集後記	14					頁数なし。
28		1	平野 正治	Drosera parvula, Planch. の開花について	1	2	
28		2	平野 正治	〔文献紹介〕モウセンゴケ属の球茎の顔料について	2	3	
28		3	日下部 勇	ウツボカツラの鉢底挿繁殖法	3	9	記載のまま：ウツボカツラ→ウツボカズラ
28		4	日下部 勇	Nepenthes (X) Williamsii, Masters	9	14	
28		5	小宮 定志	（総合講座）モウセンゴケの食虫作用(2)	14	21	
28	質問と解答の欄	6			22	24	記載のまま：解答→回答
28	短信	7			24	27	
28	会からのお知らせ	8			28	29	
28	編集後記	9			30		
29		1	山川 学三郎	私のネペンテス・アンプラリヤ	1		記載のまま：アンプラリヤ→アンプラリア
29		2	桜田 章	思い浮ぶまゝ(2)	1	5	本文中では「思い浮かぶまま(2)」
29		3	五藤 卓雄	愛知県豊明村の食虫植物	6	7	
29		4	山本 哲夫	志賀高原のムシトリスミレ	7		
29		5	平川 善二	庚申草自生地見学記	8		
29		6	根本 正之	羽生市ムジナモ自生地見学記	8	9	
29		7	石津 汪	福岡での展示会顚末記	10	13	顛は眞へん。
29		8	日下部 勇	Nepenthes X Dominii, Veitch.	14	24	
29	会員紹介	9			24		
29	短信	10			24	26	
29	会からのお知らせ	11			26	27	
29	編集後記	12			28		
30		1	平野 正治	Byblis gigantea, Lindl について	1	4	
30		2	日下部 勇	X Nepenthes hybrida, Masters（うつぼかづら交配種考、其2）	4	9	記載のまま：うつぼかづら→ウツボカズラ
30		3	日下部 勇	Nepenthes mixta の事	10	11	
30		4	J. D. フッカー 述、日下部 勇 訳	植物の肉食習性に就いて	11	33	
30	短信	5			33		
30	会からのお知らせ	6			37		
30	編集後記	7			39		
31		1	越川 幸雄	サラセニア・フラバの変種	1	4	
31		2	日下部 勇	X Nepenthes Wrigleyana, Veitch	4	11	
31		3	日下部 勇	X Nepenthes Mastersiana, Veitch	12	17	
31		4	日下部 勇	我国に最初に来た Nepenthes は何か？	17	18	
31		5	日下部 勇	サラセニア種子の播種条件について（日照条件の影響）	19		
31		6	英 清道	Dionaea の自生地を探る	20	21	
31		7	石津 汪	三沢の食虫植物	21	24	
31		8	島野 好次	上州多々良沼ムジナモ発見者高沢誠三氏と面会の記	24	27	
31		9	日下部 勇	雑録二、三〔P. gypsicola のこと：Sarracenia 原種の輸入：大正初年新宿御苑栽培 Nepenthes 目録：その他〕	27	34	
31		10	石津 汪	モウセンゴケの薬効（続）	34		
31		11	平川 善仁	羽生市ムジナモ自生地見学会報告	35		
31	短信	12			35	39	
31	会からのお知らせ	13			39	40	
31	編集後記	14			41		
32		1	小宮 定志	豊田先生を想う	1	4	
32		2	日下部 勇	Nepenthes X mixta, Mast. ベニフウツボ	4	12	
32		3	日下部 勇	Nepenthes X Wittei, Veitch	13	17	
32		4	日下部 勇	Pinguicula elatior, Michaux	18	19	
32		5	越川 幸雄	サラセニアの栽培法〔広瀬氏の方法及び理想的栽培法の考察〕	20	23	
32		6	越川 幸雄	緑海採集会報告	23	24	
32		7	平野 正治	三沢採集記	24		
32		8	英 清道	再び Dionaea の自生地を探る	25	26	訂正した：正道→清道
32	会員紹介欄	9			26		
32	短信	10			27	28	
32	会からのお知らせ：会員名簿	11			29	31	
32	編集後記	12			38		
33		1	村田 弘之	中・南米の食虫植物(1)	1		
33		2	小林 昭範	ミンダナオ島の Nepenthes	7		
33		3	豊島 正巳	北ボルネオ旅行記	11		
33		4	山川 学三郎	Cephalotus の開花、外	20		
33		5	近藤 勝彦	新輸入の食虫植物	23		
33		6	清水 清・小宮 定志	羽生市ムジナモ自生地における生態学的調査（㐧1報）	25		「㐧」は「第」の略字。
33		7	日下部 勇	ウツボカヅラ人工交配種目録	28		記載のまま：ウツボカヅラ→ウツボカズラ
33		8	越川 幸雄	ディオニアの変異について	35		記載のまま：ディオニア→ディオネア
33		9	豊島 正巳	Nepenthes の実生	37		
33		10	近藤 勝彦	“食虫植物をたのしむ”	38		
33		11	笠原 一浩	「食虫植物の驚異」が生れるまで	39		
33	会員紹介欄	12			43		
33	質問と解答欄	13			43		
33	短信	14			44		
33	交換欄	15			47		
33	会からのお知らせ	16			47		
33	編集後記	17			50		
33	付録	18	越川 幸雄	サラセニアの種類と栽培（「農耕と園芸」別刷）			（付録）
34		1	堀田 満	ボルネオ産ウツボカヅラ類についてのノート	1	11	記載のまま：ウツボカヅラ→ウツボカズラ
34		2	英 清道	ノースカロライナの食虫植物	12	16	
34		3	豊島 正巳	Nepenthes Veitchii	16	17	
34		4	近藤 勝彦	（文献紹介）シンガポールの Nepenthes	17	19	
34		5	豊島 正巳	Nepenthes trichocarpa に就いて	19	21	
34		6	近藤 勝彦	（文献紹介）アフリカ・マダガスカル産の Drosera 新種	21	26	
34		7	清水 清・小宮 定志	羽生市ムジナモ自生地における生態学的調査（㐧2報）	26	29	「㐧」は「第」の略字。
34		8	平野 正治	ドロソフィルム栽培記	30	33	
34		9	越川 幸雄	ディオニアの変異について（その2）	33	36	記載のまま：ディオニア→ディオネア
34		10	豊島 正巳	Nepenthes の実生と育成	36	38	
34		11	近藤 勝彦	新輸入の食虫植物	38	40	
34		12	豊島 正巳	ネペンテス・ノート	40	42	
34	短信	13			43	46	
34	交換欄	14			46		
34	会からのお知らせ	15			46	47	
34	編集後記	16			48		
35		1	近藤 勝彦	Heliamphora minor	1	2	
35		2	近藤 勝彦	Nepenthes 実生の観察	2	6	
35		3	近藤 勝彦	新輸入の食虫植物(3)	7	9	
35		4	越川 幸雄	新宿御苑の Nepenthes	9	11	
35		5	日下部 勇	食虫植物の登録制度に就いて	11	17	
35		6	越川 幸雄	サラセニア公認種名について	17	23	
35		7	日下部 勇	ウツボカヅラ人工交配種の新分類	23	29	記載のまま：ウツボカヅラ→ウツボカズラ
35		8	豊島 正巳	ネペンテス・ノート	30	34	
35		9	日下部 勇	偶感雑記	34	40	
